subjID	trial	cue	choice	outcome
0	0	5	0	0
0	1	2	0	-1
0	2	6	0	0
0	3	1	1	0
0	4	4	0	-1
0	5	2	1	0
0	6	7	0	0
0	7	6	0	0
0	8	6	0	0
0	9	1	0	0
0	10	7	1	0
0	11	4	1	0
0	12	6	0	0
0	13	6	1	0
0	14	2	1	0
0	15	2	1	0
0	16	4	0	-1
0	17	4	0	-1
0	18	6	0	0
0	19	6	1	0
0	20	6	0	0
0	21	2	0	-1
0	22	6	1	0
0	23	4	0	-1
0	24	6	1	0
0	25	6	0	0
0	26	4	1	0
0	27	4	1	0
0	28	5	0	0
0	29	4	1	0
0	30	2	1	0
0	31	6	1	0
0	32	2	0	-1
0	33	4	1	0
0	34	7	0	0
0	35	6	0	0
0	36	2	1	0
0	37	7	0	0
0	38	4	0	-1
0	39	2	0	-1
0	40	4	0	-1
0	41	2	1	0
0	42	4	0	-1
0	43	6	0	0
0	44	4	0	-1
0	45	4	0	-1
0	46	2	1	0
0	47	4	0	-1
0	48	4	1	0
0	49	3	1	0
0	50	4	0	-1
0	51	2	0	-1
0	52	2	1	0
0	53	4	0	-1
0	54	2	0	-1
0	55	4	1	0
0	56	6	1	0
0	57	5	1	0
0	58	2	1	0
0	59	2	1	0
0	60	6	1	0
0	61	2	0	-1
0	62	6	0	0
0	63	6	1	0
0	64	2	0	-1
0	65	6	0	0
0	66	4	1	0
0	67	6	0	0
0	68	4	1	0
0	69	6	1	0
0	70	2	1	0
0	71	2	1	0
0	72	6	1	0
0	73	6	0	0
0	74	4	0	-1
0	75	4	1	0
0	76	4	0	-1
0	77	4	1	0
0	78	2	1	0
0	79	3	1	0
0	80	3	0	0
0	81	6	1	0
0	82	7	0	0
0	83	3	1	0
0	84	2	0	-1
0	85	2	0	-1
0	86	6	1	0
0	87	2	1	0
0	88	2	0	-1
0	89	1	1	0
0	90	6	0	0
0	91	5	1	0
0	92	4	1	0
0	93	2	0	-1
0	94	2	1	0
0	95	4	1	0
0	96	2	0	-1
0	97	3	1	0
0	98	1	1	0
0	99	4	1	0
0	100	7	0	0
0	101	3	0	0
0	102	4	1	0
0	103	2	1	0
0	104	7	0	0
0	105	2	1	0
0	106	2	1	0
0	107	4	1	0
0	108	4	1	0
0	109	2	0	-1
0	110	4	0	-1
0	111	3	0	0
0	112	3	0	0
0	113	2	0	-1
0	114	6	1	0
0	115	4	1	0
0	116	6	0	0
0	117	4	1	0
0	118	6	0	0
0	119	6	0	0
0	120	4	1	0
0	121	5	1	0
0	122	4	1	0
0	123	4	0	-1
0	124	6	1	0
0	125	6	0	0
0	126	6	1	0
0	127	1	0	0
0	128	4	1	0
0	129	4	1	0
0	130	2	1	0
0	131	2	0	-1
0	132	2	0	-1
0	133	7	0	0
0	134	6	0	0
0	135	4	0	-1
0	136	6	0	0
0	137	4	1	0
0	138	7	0	0
0	139	2	0	-1
0	140	4	0	-1
0	141	5	1	0
0	142	2	1	0
0	143	2	0	-1
0	144	6	0	0
0	145	6	1	0
0	146	6	0	0
0	147	4	1	0
0	148	2	1	0
0	149	1	1	0
0	150	2	0	-1
0	151	4	1	0
0	152	6	1	0
0	153	4	1	0
0	154	1	0	0
0	155	2	0	-1
0	156	5	0	0
0	157	2	1	0
0	158	6	1	0
0	159	2	1	0
0	160	6	0	0
0	161	4	1	0
0	162	6	0	0
0	163	4	0	-1
0	164	5	1	0
0	165	3	1	0
0	166	1	1	0
0	167	2	0	-1
0	168	2	0	-1
0	169	1	0	0
0	170	7	1	0
0	171	4	0	-1
0	172	1	1	0
0	173	6	0	0
0	174	2	0	-1
0	175	2	1	0
0	176	6	0	0
0	177	4	1	0
0	178	5	0	0
0	179	5	1	0
0	180	2	0	-1
0	181	2	0	-1
0	182	4	1	0
0	183	6	1	0
0	184	6	1	0
0	185	6	1	0
0	186	3	0	0
0	187	6	0	0
0	188	6	0	0
0	189	6	1	0
1	0	5	1	0
1	1	2	0	-1
1	2	6	1	0
1	3	1	0	0
1	4	4	0	-1
1	5	2	0	-1
1	6	7	0	0
1	7	6	0	0
1	8	6	1	0
1	9	1	1	0
1	10	7	0	0
1	11	4	1	0
1	12	6	0	0
1	13	6	0	0
1	14	2	0	-1
1	15	2	0	-1
1	16	4	0	-1
1	17	4	1	0
1	18	6	1	0
1	19	6	0	0
1	20	6	0	0
1	21	2	0	-1
1	22	6	0	0
1	23	4	1	0
1	24	6	0	0
1	25	6	1	0
1	26	4	1	0
1	27	4	1	0
1	28	5	1	0
1	29	4	1	0
1	30	2	0	-1
1	31	6	0	0
1	32	2	1	0
1	33	4	0	-1
1	34	7	0	0
1	35	6	0	0
1	36	2	0	-1
1	37	7	0	0
1	38	4	0	-1
1	39	2	1	0
1	40	4	0	-1
1	41	2	1	0
1	42	4	1	0
1	43	6	0	0
1	44	4	1	0
1	45	4	1	0
1	46	2	0	-1
1	47	4	0	-1
1	48	4	1	0
1	49	3	1	0
1	50	4	0	-1
1	51	2	1	0
1	52	2	0	-1
1	53	4	1	0
1	54	2	1	0
1	55	4	1	0
1	56	6	0	0
1	57	5	1	0
1	58	2	0	-1
1	59	2	1	0
1	60	6	1	0
1	61	2	1	0
1	62	6	1	0
1	63	6	1	0
1	64	2	1	0
1	65	6	0	0
1	66	4	1	0
1	67	6	0	0
1	68	4	0	-1
1	69	6	0	0
1	70	2	0	-1
1	71	2	0	-1
1	72	6	1	0
1	73	6	0	0
1	74	4	1	0
1	75	4	1	0
1	76	4	0	-1
1	77	4	0	-1
1	78	2	0	-1
1	79	3	1	0
1	80	3	1	0
1	81	6	1	0
1	82	7	1	0
1	83	3	0	0
1	84	2	0	-1
1	85	2	1	0
1	86	6	0	0
1	87	2	1	0
1	88	2	1	0
1	89	1	1	0
1	90	6	0	0
1	91	5	1	0
1	92	4	1	0
1	93	2	1	0
1	94	2	0	-1
1	95	4	0	-1
1	96	2	0	-1
1	97	3	0	0
1	98	1	1	0
1	99	4	0	-1
1	100	7	1	0
1	101	3	1	0
1	102	4	1	0
1	103	2	1	0
1	104	7	0	0
1	105	2	1	0
1	106	2	0	-1
1	107	4	0	-1
1	108	4	1	0
1	109	2	0	-1
1	110	4	1	0
1	111	3	1	0
1	112	3	0	0
1	113	2	0	-1
1	114	6	0	0
1	115	4	1	0
1	116	6	1	0
1	117	4	0	-1
1	118	6	0	0
1	119	6	1	0
1	120	4	0	-1
1	121	5	1	0
1	122	4	0	-1
1	123	4	0	-1
1	124	6	0	0
1	125	6	0	0
1	126	6	0	0
1	127	1	1	0
1	128	4	1	0
1	129	4	1	0
1	130	2	0	-1
1	131	2	1	0
1	132	2	0	-1
1	133	7	0	0
1	134	6	1	0
1	135	4	0	-1
1	136	6	0	0
1	137	4	1	0
1	138	7	1	0
1	139	2	1	0
1	140	4	1	0
1	141	5	1	0
1	142	2	1	0
1	143	2	1	0
1	144	6	0	0
1	145	6	1	0
1	146	6	1	0
1	147	4	1	0
1	148	2	1	0
1	149	1	0	0
1	150	2	1	0
1	151	4	1	0
1	152	6	0	0
1	153	4	0	-1
1	154	1	1	0
1	155	2	0	-1
1	156	5	1	0
1	157	2	1	0
1	158	6	1	0
1	159	2	1	0
1	160	6	0	0
1	161	4	0	-1
1	162	6	1	0
1	163	4	1	0
1	164	5	1	0
1	165	3	1	0
1	166	1	1	0
1	167	2	1	0
1	168	2	1	0
1	169	1	0	0
1	170	7	0	0
1	171	4	0	-1
1	172	1	0	0
1	173	6	1	0
1	174	2	0	-1
1	175	2	0	-1
1	176	6	1	0
1	177	4	1	0
1	178	5	1	0
1	179	5	0	0
1	180	2	1	0
1	181	2	1	0
1	182	4	1	0
